Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.88,2,0.07,0.77,4.71
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2,0.15,0.71,4.46
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.77,1.11,0,0.4,4.29
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.34,0.3,0,0.6,3.24
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96
FIFA 15,X360,2014,Sports,Electronic Arts,0.79,1.92,0,0.21,2.92
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.28,0.98,0.07,0.46,2.79
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0,0.48,2.78
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.5,1.5,0.05,0.37,2.43
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0,0.02,0.14
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21
Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.54,0.25,0,0.4,2.19
Overwatch,PS4,2016,Shooter,Activision,0.81,0.85,0.15,0.33,2.14
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07
Madden NFL 15,X360,2014,Sports,Electronic Arts,1.77,0.06,0,0.22,2.05
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.78,0.79,0.04,0.31,1.93
Destiny,X360,2014,Shooter,Activision,1.31,0.43,0,0.18,1.92
LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.66,0.93,0.01,0.31,1.91
FIFA 17,X360,2016,Sports,Electronic Arts,0.07,0.28,0,0.03,5.38
Just Cause 3,PS4,2015,Action,Square Enix,0.47,1.03,0.07,0.28,1.86
Diablo III,PS4,2014,Role-Playing,Activision,0.51,0.98,0.06,0.28,1.82
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.03
The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.25,0.17,0,0.32,1.75
The Elder Scrolls Online,PS4,2015,Role-Playing,Bethesda Softworks,0.67,0.79,0,0.29,1.75
The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74
The Crew,PS4,2014,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72
Call of Duty: Black Ops 3,X360,2015,Shooter,Activision,1.14,0.4,0,0.16,1.71
Anima - Gate of Memories,PS4,2016,Action,Avanquest,0,0.02,0,0,0.02
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65
NBA 2K15,X360,2014,Sports,Take-Two Interactive,1.35,0.11,0,0.17,1.63
FIFA 16,X360,2015,Sports,Electronic Arts,0.57,0.88,0,0.12,1.57
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,1.55
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.5,0.76,0.04,0.24,1.54
Doom (2016),PS4,2016,Shooter,Bethesda Softworks,0.54,0.69,0.02,0.24,1.49
Tomb Raider (2013),PS4,2014,Action,Square Enix,0.47,0.65,0.06,0.22,1.4
Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36
The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0,0.11,1.27
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27
Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.2,1.21
Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.36,0.59,0.04,0.18,1.17
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0,0.19,1.15
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.01,0.05,0.01,0.01,0.09
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09
Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.64,0.34,0,0.1,1.08
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.47,0,0.09,1.08
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05
Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.34,0,0.09,1.01
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.64,0,0.16,1.01
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.98
Madden NFL 16,X360,2015,Sports,Electronic Arts,0.85,0.02,0,0.1,0.97
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96
NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.79,0.05,0,0.1,0.94
Rise of the Tomb Raider,PS4,2016,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0,0.15,0.93
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0.08,0,0.17,0.92
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.58,0.26,0,0.09,0.92
Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9
Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.37,0,0.08,0.9
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9
Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.27,0,0.08,0.9
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0,0.03,0.2
Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.33,0,0.08,0.89
Minecraft: Story Mode,X360,2015,Adventure,Mojang,0.48,0.33,0,0.08,0.88
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88
LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.32,0,0.08,0.87
Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0,0.14,0.86
Thief (2014),PS4,2014,Action,Square Enix,0.28,0.38,0.03,0.13,0.82
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79
Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.37,0,0.06,0.78
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75
Final Fantasy XIV: A Realm Reborn,PS4,2014,Role-Playing,Square Enix,0.33,0.23,0.08,0.11,0.75
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.18,0.01,0.07,0.74
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.27,0.06,0.11,0.74
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix,0.17,0.13,0.37,0.06,0.74
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.04,0.11,0.11,0.03,0.28
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0,0.12,0.73
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0,0,0.14,0.72
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.24,0.37,0,0.12,0.72
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0,0,0.06,0.3
Batman: Return to Arkham,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0,0.04,0.26
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.25,0.33,0,0.11,0.69
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0,0.11,0.68
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66
Metro: Last Light,PS4,2014,Action,Deep Silver,0.22,0.3,0.04,0.1,0.66
God of War III,PS4,2015,Action,Sony Computer Entertainment,0.24,0.29,0.01,0.1,0.65
WWE 2K15,X360,2014,Sports,Take-Two Interactive,0.38,0.2,0,0.06,0.64
Battlezone,PS4,2016,Action,Rebellion Developments,0.02,0.02,0,0.01,0.04
Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.35,0.17,0,0.11,0.63
NHL 16,PS4,2015,Sports,Electronic Arts,0.36,0.16,0,0.11,0.63
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.27,0.25,0,0.1,0.62
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.21,0.23,0.08,0.09,0.6
Just Dance 2015,X360,2014,Misc,Ubisoft,0.42,0.13,0,0.06,0.6
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0,0.09,0.6
Madden NFL 17,X360,2016,Sports,Electronic Arts,0.14,0.02,0,0.02,1.17
NHL 15,PS4,2014,Sports,Electronic Arts,0.31,0.19,0,0.1,0.6
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.55
The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,0.2,0.25,0.02,0.09,0.55
LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.26,0.23,0,0.04,0.53
Dragon Age: Inquisition,X360,2014,Role-Playing,Electronic Arts,0.36,0.12,0,0.05,0.53
Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.18,0.25,0,0.08,0.52
Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.18,0.24,0.02,0.08,0.52
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.2,0.21,0,0.08,0.49
Middle-Earth: Shadow of Mordor,X360,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.16,0,0.04,0.49
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.09,0.22,0.1,0.06,0.46
The Evil Within,X360,2014,Action,Bethesda Softworks,0.25,0.16,0.01,0.04,0.46
The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.02,0.07,0.46
LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0,0.04,0.45
NHL 15,X360,2014,Sports,Electronic Arts,0.35,0.05,0,0.05,0.45
Skylanders: Trap Team,PS4,2014,Action,Activision,0.19,0.18,0,0.07,0.44
Fable,X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.15,0.01,0.04,0.44
Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.2,0,0.07,0.43
WWE 2K16,X360,2015,Sports,Take-Two Interactive,0.27,0.12,0,0.04,0.43
Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.1,0.25,0.02,0.06,0.43
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.15,0.25,0,0.03,0.42
Skylanders: SuperChargers,X360,2015,Action,Activision,0.25,0.13,0,0.04,0.42
Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.22,0.01,0.07,0.42
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0,0.06,0.41
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.04,0.11,0.22,0.03,0.4
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4
Life is Strange,PS4,2016,Adventure,Square Enix,0.15,0.15,0.03,0.06,0.4
Disney Infinity 3.0,X360,2015,Action,Disney Interactive Studios,0.21,0.15,0,0.03,0.39
Saints Row IV,PS4,2015,Action,Deep Silver,0.13,0.18,0.03,0.06,0.39
Dishonored,PS4,2015,Action,Bethesda Softworks,0.12,0.2,0.02,0.06,0.39
Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment,0.18,0.15,0,0.07,0.39
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.03,0.29,0.01,0.05,0.39
Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.07,0.39
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.26,0.05,0,0.07,0.38
Wolfenstein: The New Order,X360,2014,Shooter,Bethesda Softworks,0.18,0.17,0,0.03,0.38
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.11,0.21,0,0.06,0.38
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88
Berserk and the Band of the Hawk,PS4,2016,Action,Tecmo Koei,0,0,0.04,0,0.04
Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.37,0,0.37
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37
DiRT Rally,PS4,2016,Racing,Codemasters,0.04,0.27,0,0.05,0.37
Just Dance 2016,PS4,2015,Misc,Ubisoft,0.17,0.13,0,0.06,0.36
Farming Simulator 2015,PS4,2015,Simulation,Koch Media,0.1,0.2,0,0.06,0.35
Farming Simulator 2015,X360,2015,Simulation,Koch Media,0.22,0.11,0,0.03,0.35
Homefront: The Revolution,PS4,2016,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35
One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35
Destiny: The Taken King,X360,2015,Shooter,Activision,0.24,0.08,0,0.03,0.35
Mirror's Edge Catalyst,PS4,2016,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35
Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0.01,0,0,0,0.01
Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei,0.09,0.13,0.08,0.04,0.34
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix,0.07,0.09,0.15,0.03,0.33
Just Dance 2016,X360,2015,Misc,Ubisoft,0.23,0.05,0,0.03,0.32
Murdered: Soul Suspect,PS4,2014,Action,Square Enix,0.09,0.16,0.02,0.05,0.32
Rise of the Tomb Raider,X360,2015,Adventure,Square Enix,0.18,0.11,0,0.03,0.32
Crows: Burning Edge,PS4,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01
Tropico 5,PS4,2015,Simulation,Kalypso Media,0.06,0.16,0.06,0.04,0.31
Skylanders: SuperChargers,PS4,2015,Action,Activision,0.17,0.08,0,0.05,0.31
DmC: Devil May Cry,PS4,2015,Action,Capcom,0.12,0.13,0,0.05,0.31
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,0.02,0,0,0,0.02
Sniper Elite 3,X360,2014,Shooter,505 Games,0.16,0.12,0,0.03,0.3
Dynasty Warriors 8: Xtreme Legends,PS4,2014,Action,Tecmo Koei,0.09,0.11,0.06,0.04,0.3
Deadpool,PS4,2015,Action,Activision,0.14,0.11,0,0.05,0.29
Disgaea 5: Alliance of Vengeance,PS4,2015,Role-Playing,Nippon Ichi Software,0.11,0.08,0.06,0.04,0.29
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14
Battlefield: Hardline,X360,2015,Shooter,Electronic Arts,0.17,0.09,0,0.03,0.28
Divinity: Original Sin,PS4,2015,Role-Playing,Focus Home Interactive,0.1,0.12,0.02,0.04,0.28
Payday 2,PS4,2015,Shooter,505 Games,0.1,0.14,0,0.05,0.28
Alien: Isolation,X360,2014,Shooter,Sega,0.15,0.1,0,0.02,0.28
Thief (2014),X360,2014,Action,Square Enix,0.14,0.11,0,0.02,0.28
Dead Rising,PS4,2016,Action,Capcom,0.02,0,0.01,0.01,0.04
Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,0.09,0.14,0,0.04,0.27
Dead Rising 2,PS4,2016,Action,Capcom,0.01,0,0.01,0,0.03
Tearaway Unfolded,PS4,2015,Platform,Sony Computer Entertainment,0.09,0.13,0,0.04,0.26
J Stars Victory Vs.,PS4,2015,Fighting,Namco Bandai Games,0.08,0.14,0,0.04,0.26
Battleborn,PS4,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26
PlayStation VR Worlds,PS4,2016,Misc,Sony Computer Entertainment,0.06,0.14,0.02,0.04,0.25
The Walking Dead: Season Two,PS4,2014,Adventure,Telltale Games,0.1,0.09,0.01,0.04,0.25
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.1,0.11,0,0.04,0.25
Onechanbara Z2: Chaos,PS4,2014,Action,Nippon Ichi Software,0.14,0.03,0.04,0.04,0.24
Samurai Warriors 4,PS4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24
Dragon Ball: XenoVerse,X360,2015,Fighting,Namco Bandai Games,0.17,0.04,0,0.02,0.24
Destiny: The Collection,PS4,2016,Shooter,Activision,0.05,0.15,0,0.04,0.24
NBA Live 15,PS4,2014,Sports,Electronic Arts,0.16,0.04,0,0.04,0.23
The Amazing Spider-Man 2 (2014),X360,2014,Action,Activision,0.1,0.11,0,0.02,0.23
Transformers: Devastation,PS4,2015,Action,Activision,0.1,0.09,0,0.04,0.23
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23
Guitar Hero Live,X360,2015,Misc,Activision,0.13,0.08,0,0.02,0.23
F1 2014,X360,2014,Racing,Codemasters,0.08,0.13,0,0.02,0.23
Darksiders II,PS4,2015,Action,Nordic Games,0.09,0.1,0,0.04,0.22
Ride,PS4,2015,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.22
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,Namco Bandai Games,0.14,0.06,0,0.02,0.22
The Crew,X360,2014,Racing,Ubisoft,0.06,0.14,0,0.02,0.22
Transformer: Rise of the Dark Spark,PS4,2014,Action,Activision,0.07,0.1,0.01,0.03,0.21
The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.1,0.07,0,0.04,0.21
Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.09,0.08,0,0.03,0.21
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.22,0.32,0,0.1,0.64
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.07,0.05,0.05,0.03,0.2
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.05,0.12,0,0.03,0.2
Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Adventure,Activision,0.11,0.07,0,0.02,0.2
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.08,0.09,0,0.03,0.19
